x,y
1.6923,0.0079
4.4666,0.0066
4.4666,0.0066
4.547,0.0111
4.547,0.0111
6.8654,0.0172
7.4311,0.1662
11.0245,0.0894
12.1097,0.1494
13.056,0.5148
13.7888,0.5012
13.7888,0.5012
13.7888,0.5012
15.102,0.3902
15.3998,0.3399
15.3998,0.3399
15.3998,0.3399
16.7391,0.5472
16.7391,0.5472
17.2629,0.822
17.2629,0.822
17.2629,0.822
17.2629,0.822
17.6406,0.742
18.5391,0.7197
18.5391,0.7197
18.6087,0.749
18.6087,0.749
19.7344,0.8272
21.4553,0.9237
21.4553,0.9237
21.4553,0.9237
21.8538,0.9594
21.8538,0.9594
23.6206,0.9792
24.2727,0.9261
24.2727,0.9261
25.098,0.9867
28.2516,0.996
29.9796,0.9976
