x,y
0.4556,0.004
0.4556,0.004
0.4556,0.004
1.6923,0.0079
4.547,0.0111
7.4311,0.1662
12.1097,0.1494
12.1097,0.1494
13.7888,0.5012
13.7888,0.5012
15.102,0.3902
15.102,0.3902
15.3998,0.3399
15.3998,0.3399
15.4962,0.6995
15.4962,0.6995
15.4962,0.6995
15.4962,0.6995
17.2629,0.822
17.2629,0.822
17.2934,0.5745
17.6406,0.742
18.5391,0.7197
18.5391,0.7197
18.5391,0.7197
18.6087,0.749
18.6087,0.749
19.7344,0.8272
21.0136,0.8372
21.0136,0.8372
21.8538,0.9594
23.0483,0.9416
23.6206,0.9792
25.098,0.9867
25.4382,0.9829
25.4382,0.9829
26.8917,0.9975
28.2516,0.996
29.0895,0.9944
29.9796,0.9976
