x,y
0.4556,0.004
0.4556,0.004
0.4556,0.004
0.4556,0.004
2.6338,0.0051
3.9334,0.0178
5.0646,0.0204
5.0646,0.0204
5.0646,0.0204
6.8654,0.0172
6.8654,0.0172
7.4097,0.1158
7.4097,0.1158
7.4097,0.1158
7.4311,0.1662
7.4311,0.1662
12.1097,0.1494
15.102,0.3902
15.102,0.3902
15.3998,0.3399
15.4962,0.6995
17.2629,0.822
17.2934,0.5745
17.6406,0.742
17.6406,0.742
17.6406,0.742
18.5284,0.895
18.5284,0.895
18.6087,0.749
19.7344,0.8272
21.0136,0.8372
21.0136,0.8372
21.0136,0.8372
21.0136,0.8372
21.4553,0.9237
23.0483,0.9416
26.8917,0.9975
26.8917,0.9975
29.0895,0.9944
29.9796,0.9976
