x,y
0.4556,0.004
1.6923,0.0079
2.7556,0.0034
2.7556,0.0034
2.7556,0.0034
3.0087,0.0112
3.0087,0.0112
4.4666,0.0066
5.6092,0.0268
5.6092,0.0268
6.8654,0.0172
6.8654,0.0172
7.4097,0.1158
7.4311,0.1662
11.0245,0.0894
11.0245,0.0894
12.1097,0.1494
13.7888,0.5012
13.7888,0.5012
15.102,0.3902
15.102,0.3902
15.102,0.3902
15.102,0.3902
15.3998,0.3399
15.3998,0.3399
17.2629,0.822
17.2934,0.5745
17.2934,0.5745
17.2934,0.5745
18.5284,0.895
18.6087,0.749
18.6087,0.749
18.6087,0.749
19.7344,0.8272
21.0136,0.8372
21.8538,0.9594
24.2727,0.9261
25.098,0.9867
29.0895,0.9944
29.0895,0.9944
