x,y
0.4556,0.004
0.4556,0.004
1.6923,0.0079
2.6338,0.0051
2.6338,0.0051
2.7556,0.0034
3.0087,0.0112
3.0087,0.0112
3.0087,0.0112
5.0646,0.0204
5.0646,0.0204
6.8654,0.0172
6.8654,0.0172
7.4097,0.1158
7.4311,0.1662
7.4311,0.1662
11.0245,0.0894
12.1097,0.1494
13.7888,0.5012
15.102,0.3902
15.3998,0.3399
15.3998,0.3399
16.7391,0.5472
17.2934,0.5745
17.6406,0.742
18.5284,0.895
18.5391,0.7197
18.6087,0.749
21.4553,0.9237
21.8538,0.9594
23.0483,0.9416
23.6206,0.9792
24.2727,0.9261
26.8917,0.9975
26.8917,0.9975
26.8917,0.9975
29.0895,0.9944
29.0895,0.9944
29.9796,0.9976
29.9796,0.9976
