x,y
0.4556,0.004
0.4556,0.004
2.6338,0.0051
2.7556,0.0034
3.0087,0.0112
3.9334,0.0178
4.4666,0.0066
4.4666,0.0066
4.547,0.0111
4.547,0.0111
5.6092,0.0268
6.8654,0.0172
6.8654,0.0172
6.8654,0.0172
6.8654,0.0172
7.4097,0.1158
7.4097,0.1158
7.4311,0.1662
11.0245,0.0894
11.0245,0.0894
13.056,0.5148
13.7888,0.5012
13.7888,0.5012
13.7888,0.5012
13.7888,0.5012
17.2934,0.5745
17.6406,0.742
18.5284,0.895
18.5284,0.895
18.6087,0.749
18.6087,0.749
18.6087,0.749
18.6087,0.749
21.4553,0.9237
21.4553,0.9237
24.2727,0.9261
24.2727,0.9261
25.4382,0.9829
25.4382,0.9829
26.8917,0.9975
