x,y
0.4556,0.004
0.4556,0.004
0.4556,0.004
1.6923,0.0079
2.6338,0.0051
2.6338,0.0051
2.7556,0.0034
2.7556,0.0034
2.7556,0.0034
5.0646,0.0204
7.4311,0.1662
11.0245,0.0894
12.1097,0.1494
15.4962,0.6995
16.7391,0.5472
17.2629,0.822
17.2934,0.5745
17.6406,0.742
18.5391,0.7197
18.5391,0.7197
18.5391,0.7197
18.6087,0.749
18.6087,0.749
19.7344,0.8272
21.4553,0.9237
21.8538,0.9594
23.6206,0.9792
23.6206,0.9792
24.2727,0.9261
25.098,0.9867
25.4382,0.9829
25.4382,0.9829
25.4382,0.9829
25.4382,0.9829
25.4382,0.9829
28.2516,0.996
29.0895,0.9944
29.0895,0.9944
29.0895,0.9944
29.9796,0.9976
