x,y
0.4556,0.004
0.4556,0.004
1.6923,0.0079
2.6338,0.0051
2.7556,0.0034
4.547,0.0111
4.547,0.0111
5.0646,0.0204
5.0646,0.0204
5.6092,0.0268
5.6092,0.0268
5.6092,0.0268
5.6092,0.0268
5.6092,0.0268
5.6092,0.0268
5.6092,0.0268
6.8654,0.0172
7.4097,0.1158
7.4311,0.1662
11.0245,0.0894
11.0245,0.0894
11.0245,0.0894
13.056,0.5148
15.102,0.3902
15.102,0.3902
15.4962,0.6995
15.4962,0.6995
16.7391,0.5472
16.7391,0.5472
18.5391,0.7197
18.6087,0.749
18.6087,0.749
18.6087,0.749
19.7344,0.8272
19.7344,0.8272
19.7344,0.8272
23.0483,0.9416
26.8917,0.9975
26.8917,0.9975
28.2516,0.996
