x,y
1.6923,0.0079
1.6923,0.0079
1.6923,0.0079
2.6338,0.0051
2.6338,0.0051
2.6338,0.0051
2.6338,0.0051
4.4666,0.0066
4.547,0.0111
4.547,0.0111
5.0646,0.0204
5.6092,0.0268
11.0245,0.0894
13.056,0.5148
13.7888,0.5012
13.7888,0.5012
13.7888,0.5012
13.7888,0.5012
13.7888,0.5012
15.102,0.3902
15.4962,0.6995
17.2629,0.822
17.6406,0.742
17.6406,0.742
18.5391,0.7197
18.6087,0.749
19.7344,0.8272
19.7344,0.8272
19.7344,0.8272
19.7344,0.8272
21.0136,0.8372
21.4553,0.9237
21.4553,0.9237
23.6206,0.9792
25.4382,0.9829
26.8917,0.9975
26.8917,0.9975
26.8917,0.9975
28.2516,0.996
28.2516,0.996
