x,y
1.6923,0.0079
1.6923,0.0079
3.0087,0.0112
3.9334,0.0178
3.9334,0.0178
4.547,0.0111
4.547,0.0111
5.6092,0.0268
6.8654,0.0172
6.8654,0.0172
7.4097,0.1158
7.4097,0.1158
7.4097,0.1158
12.1097,0.1494
12.1097,0.1494
12.1097,0.1494
13.056,0.5148
13.056,0.5148
13.056,0.5148
15.3998,0.3399
15.4962,0.6995
17.2629,0.822
17.2629,0.822
17.6406,0.742
18.5284,0.895
18.5284,0.895
18.5391,0.7197
18.6087,0.749
18.6087,0.749
18.6087,0.749
19.7344,0.8272
21.0136,0.8372
24.2727,0.9261
24.2727,0.9261
25.4382,0.9829
25.4382,0.9829
26.8917,0.9975
29.0895,0.9944
29.0895,0.9944
29.9796,0.9976
