x,y
0.4556,0.004
0.4556,0.004
2.6338,0.0051
4.547,0.0111
5.0646,0.0204
5.0646,0.0204
5.6092,0.0268
7.4311,0.1662
7.4311,0.1662
7.4311,0.1662
11.0245,0.0894
11.0245,0.0894
12.1097,0.1494
13.056,0.5148
13.056,0.5148
13.056,0.5148
13.7888,0.5012
15.102,0.3902
15.102,0.3902
16.7391,0.5472
17.6406,0.742
17.6406,0.742
17.6406,0.742
18.5284,0.895
18.5284,0.895
18.5391,0.7197
19.7344,0.8272
21.0136,0.8372
21.4553,0.9237
21.8538,0.9594
23.0483,0.9416
23.0483,0.9416
24.2727,0.9261
25.098,0.9867
25.098,0.9867
26.8917,0.9975
26.8917,0.9975
29.0895,0.9944
29.9796,0.9976
29.9796,0.9976
