x,y
0.4556,0.004
3.0087,0.0112
3.0087,0.0112
5.6092,0.0268
5.6092,0.0268
6.8654,0.0172
6.8654,0.0172
7.4097,0.1158
11.0245,0.0894
11.0245,0.0894
12.1097,0.1494
15.3998,0.3399
15.3998,0.3399
15.3998,0.3399
15.4962,0.6995
17.2629,0.822
17.2934,0.5745
17.6406,0.742
17.6406,0.742
19.7344,0.8272
19.7344,0.8272
21.0136,0.8372
21.0136,0.8372
21.0136,0.8372
21.4553,0.9237
21.4553,0.9237
21.4553,0.9237
21.8538,0.9594
21.8538,0.9594
21.8538,0.9594
23.0483,0.9416
23.6206,0.9792
24.2727,0.9261
25.4382,0.9829
26.8917,0.9975
28.2516,0.996
29.0895,0.9944
29.0895,0.9944
29.9796,0.9976
29.9796,0.9976
