x,y
1.6923,0.0079
1.6923,0.0079
2.7556,0.0034
2.7556,0.0034
2.7556,0.0034
4.547,0.0111
4.547,0.0111
5.0646,0.0204
5.0646,0.0204
5.6092,0.0268
6.8654,0.0172
6.8654,0.0172
7.4097,0.1158
7.4097,0.1158
7.4311,0.1662
13.056,0.5148
13.7888,0.5012
15.102,0.3902
15.3998,0.3399
15.4962,0.6995
17.2629,0.822
17.2934,0.5745
17.2934,0.5745
17.2934,0.5745
18.6087,0.749
19.7344,0.8272
21.0136,0.8372
21.8538,0.9594
24.2727,0.9261
24.2727,0.9261
24.2727,0.9261
26.8917,0.9975
26.8917,0.9975
26.8917,0.9975
26.8917,0.9975
29.0895,0.9944
29.0895,0.9944
29.0895,0.9944
29.9796,0.9976
29.9796,0.9976
