x,y
0.4556,0.004
0.4556,0.004
0.4556,0.004
0.4556,0.004
1.6923,0.0079
1.6923,0.0079
3.0087,0.0112
3.0087,0.0112
3.9334,0.0178
3.9334,0.0178
5.0646,0.0204
5.0646,0.0204
5.0646,0.0204
7.4097,0.1158
7.4097,0.1158
7.4097,0.1158
7.4311,0.1662
12.1097,0.1494
13.056,0.5148
13.7888,0.5012
15.4962,0.6995
15.4962,0.6995
16.7391,0.5472
17.2629,0.822
17.2934,0.5745
17.2934,0.5745
17.2934,0.5745
18.5284,0.895
18.5391,0.7197
19.7344,0.8272
21.0136,0.8372
21.4553,0.9237
21.8538,0.9594
23.6206,0.9792
23.6206,0.9792
25.098,0.9867
25.4382,0.9829
26.8917,0.9975
29.0895,0.9944
29.9796,0.9976
