x,y
0.4556,0.004
1.6923,0.0079
1.6923,0.0079
1.6923,0.0079
1.6923,0.0079
3.0087,0.0112
3.0087,0.0112
3.9334,0.0178
5.0646,0.0204
7.4097,0.1158
7.4097,0.1158
7.4311,0.1662
7.4311,0.1662
13.056,0.5148
13.056,0.5148
13.7888,0.5012
15.102,0.3902
15.102,0.3902
15.102,0.3902
15.3998,0.3399
15.3998,0.3399
15.4962,0.6995
16.7391,0.5472
16.7391,0.5472
17.2934,0.5745
18.5284,0.895
18.5284,0.895
18.5391,0.7197
18.6087,0.749
18.6087,0.749
21.4553,0.9237
21.8538,0.9594
21.8538,0.9594
21.8538,0.9594
23.0483,0.9416
25.4382,0.9829
25.4382,0.9829
28.2516,0.996
28.2516,0.996
29.0895,0.9944
