x,y
0.4556,0.004
1.6923,0.0079
1.6923,0.0079
2.7556,0.0034
2.7556,0.0034
3.0087,0.0112
4.4666,0.0066
4.4666,0.0066
4.547,0.0111
4.547,0.0111
5.6092,0.0268
6.8654,0.0172
7.4311,0.1662
12.1097,0.1494
13.056,0.5148
13.056,0.5148
15.102,0.3902
15.3998,0.3399
16.7391,0.5472
17.2629,0.822
17.2629,0.822
17.6406,0.742
18.5284,0.895
18.5391,0.7197
19.7344,0.8272
21.8538,0.9594
21.8538,0.9594
24.2727,0.9261
25.4382,0.9829
28.2516,0.996
28.2516,0.996
29.0895,0.9944
29.0895,0.9944
29.0895,0.9944
29.0895,0.9944
29.0895,0.9944
29.9796,0.9976
29.9796,0.9976
29.9796,0.9976
29.9796,0.9976
