x,y
0.4556,0.004
2.6338,0.0051
2.6338,0.0051
2.6338,0.0051
3.0087,0.0112
3.0087,0.0112
3.9334,0.0178
4.4666,0.0066
4.4666,0.0066
4.4666,0.0066
5.0646,0.0204
5.0646,0.0204
5.0646,0.0204
5.6092,0.0268
6.8654,0.0172
7.4097,0.1158
7.4097,0.1158
12.1097,0.1494
12.1097,0.1494
15.102,0.3902
15.3998,0.3399
15.3998,0.3399
17.6406,0.742
18.5284,0.895
18.5284,0.895
18.5391,0.7197
18.5391,0.7197
18.5391,0.7197
19.7344,0.8272
19.7344,0.8272
19.7344,0.8272
24.2727,0.9261
24.2727,0.9261
24.2727,0.9261
25.098,0.9867
25.098,0.9867
25.4382,0.9829
28.2516,0.996
29.0895,0.9944
29.0895,0.9944
