x,y
1.6923,0.0079
1.6923,0.0079
2.7556,0.0034
4.4666,0.0066
5.0646,0.0204
5.0646,0.0204
5.0646,0.0204
5.6092,0.0268
11.0245,0.0894
11.0245,0.0894
13.056,0.5148
13.056,0.5148
13.056,0.5148
13.7888,0.5012
15.102,0.3902
15.3998,0.3399
15.4962,0.6995
16.7391,0.5472
18.5284,0.895
18.5284,0.895
18.5391,0.7197
18.6087,0.749
19.7344,0.8272
19.7344,0.8272
19.7344,0.8272
21.0136,0.8372
21.0136,0.8372
21.4553,0.9237
21.4553,0.9237
21.8538,0.9594
23.6206,0.9792
25.098,0.9867
25.4382,0.9829
25.4382,0.9829
25.4382,0.9829
26.8917,0.9975
26.8917,0.9975
28.2516,0.996
29.9796,0.9976
29.9796,0.9976
